id,commun,sujet_perso,verbale,nominale,part_motif,weight,info,coupable,victime,genre,nombre
92,,,"{ .est(devenu{ .sujet.es },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } secrétaire{ .sujet.s } généra{ .sujet.gn(l,le,ux,les) } de la CGT",{ .sujet.comp(l’accession) } à la tête de la CGT,,10,40,,,F,S
95,,,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } { .sujet.comp_implicite(le coming out sapiosexuel{ .sujet.gn(,le,s,les) }) }",{ .sujet.comp(le coming out sapiosexuel) },,10,42,,,M,S
96,,,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } { .sujet.comp_implicite(le coming out asexuel{ .sujet.gn(,le,s,les) }) }",{ .sujet.comp(le coming out asexuel) },,10,42,,,M,S
97,,,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } { .sujet.comp_implicite(le coming out game{ .sujet.gn(r,use,rs,uses) }) }",{ .sujet.comp(le coming out gamer) },,10,42,,,M,S
98,,,{ .est(élu{ .sujet.es }) } personnalité{ .sujet.s } préférée{ .sujet.s } des Français,{ .sujet.comp(l’élection) } personnalité{ .sujet.s } préférée{ .sujet.s } des Français,,10,43,,,F,S
100,,,"{ .objet.cod({ .a(racheté,racheter,rachète,rachètes,rachète,rachetons,rachetez,rachètent) }) }",{ .objet.comp(le rachat) }{ .s( par { .sujet.tonique }) },,10,45,,,M,S
102,,,"{ .a(annoncé,annoncer,annonce,annonces,annonce,annonçons,annoncez,annoncent) } { .sujet.comp_implicite(la démission) }",l’annonce de { .sujet.comp(la démission) },"après { `.info.motif ||= Action(coupable)`.val(forme: (verbale|nominale), temps: infinitif_passe, coupable: { action102sujet = .sujet } action102sujet, mettre_sujet: false) }",10,46,,,F,S
103,,,"{ .a(démissionné,démissionner,démissionne,démissionnes,démissionne,démissionnons,démissionnez,démissionnent) } de { .sujet.comp_implicite(les fonctions) }",{ .sujet.comp(la démission) },"après { `.info.motif ||= Action(coupable)`.val(forme: (verbale|nominale), temps: infinitif_passe, coupable: { action103sujet = .sujet } action103sujet, mettre_sujet: false) }",10,46,,,F,S
104,,,{ .etre } destitué{ .sujet.es } de { .sujet.comp_implicite(les fonctions) },{ .sujet.comp(la destitution) },{ .pour_motif },10,47,,sujet,F,S
105,,,"{ .objet.cod({ .a(provoqué,provoquer,provoque,provoques,provoque,provoquons,provoquez,provoquent) }) }",{ .objet.comp(la provocation) }{ .s( par { .sujet.tonique }) },{ .parce_que_motif },10,48,sujet,objet,F,S
106,,,"{ .objet.cod({ .a(clashé,clasher,clashe,clashes,clashe,clashons,clashez,clashent) }) }",{ .sujet.comp(le clash) } { .objet.coi_explicite },{ .parce_que_motif },10,48,sujet,objet,M,S
107,,,"{ .objet.cod({ .a(provoqué,provoquer,provoque,provoques,provoque,provoquons,provoquez,provoquent) }) } en duel",{ .sujet.comp(la provocation en duel) }{ .s( par { .sujet.tonique }) },{ .parce_que_motif },10,48,sujet,objet,F,S
108,,,"{ .objet.cod({ .a(provoqué,provoquer,provoque,provoques,provoque,provoquons,provoquez,provoquent) }) } en duel de MMA",{ .sujet.comp(la provocation en duel de MMA) }{ .s( par { .sujet.tonique }) },{ .parce_que_motif },10,48,sujet,objet,F,S
116,,,"{ .sujet.se({ .est(battu{ .sujet.es },battre,bats,bats,bat,battons,battez,battent) }) } avec { .objet.tonique }",(la bagarre|la violente altercation) entre { .sujet.tonique } et { .objet.tonique },{ .parce_que_motif },10,51,sujet,objet,F,S
117,{ .ministere = s(des Affaires étrangères|de la Transition écologique|de l’Éducation nationale|de l’Économie|des Finances|des Armées|de la Défense|de l’Intérieur|du Travail|des Outre-mer|de la Justice|de la Culture|de la Santé|de la Mer|de l’Enseignement supérieur|de l’Agriculture|de l’Égalité femmes-hommes|du Logement|des Transports|des Sports|des Comptes publics|de l’Industrie|de la Ville|des Territoires|des Affaires européennes|de la Jeunesse|du Numérique|de la Ruralité|de la Famille|de l’Enfance) },,{ .etre } pressenti{ .sujet.es } pour (être|devenir) Ministre{ .sujet.s } { .ministere },la rumeur de { .sujet.comp(la nomination) } au Ministère { .ministere },,10,52,,,F,S
118,{ .ministere = s(des Affaires étrangères|de la Transition écologique|de l’Éducation nationale|de l’Économie|des Finances|des Armées|de la Défense|de l’Intérieur|du Travail|des Outre-mer|de la Justice|de la Culture|de la Santé|de la Mer|de l’Enseignement supérieur|de l’Agriculture|de l’Égalité femmes-hommes|du Logement|des Transports|des Sports|des Comptes publics|de l’Industrie|de la Ville|des Territoires|des Affaires européennes|de la Jeunesse|du Numérique|de la Ruralité|de la Famille|de l’Enfance) },,{ .etre } nommé{ .sujet.es } Ministre{ .sujet.s } { .ministere },{ .sujet.comp(la nomination) } au Ministère { .ministere },,10,53,,,F,S
125,,,"{ .a(publié,publier,publie,publies,publie,publions,publiez,publient) } un message de soutien envers { .objet.tonique }",{ .sujet.comp(le soutien) } { .objet.coi_explicite },"qui { `.info.motif ||= Action(victime)`.val(victime: { action125objet = .objet } action125objet, temps: passe, mettre_sujet: false) }",10,56,,,M,S
126,,,"{ .objet.cod({ .a(soutenu,soutenir,soutiens,soutiens,soutient,soutenons,soutenez,soutiennent) } publiquement) }",{ .sujet.comp(le soutien) } { .objet.coi_explicite },{ .parce_que_motif },10,56,,,M,S
130,,,"{ .a(été exécuté{ .sujet.es },être exécuté{ .sujet.es },serai exécuté{ .sujet.es },seras exécuté{ .sujet.es },sera exécuté{ .sujet.es },serons exécuté{ .sujet.es },serez exécuté{ .sujet.es },seront exécuté{ .sujet.es }) }( en place publique)?",{ .sujet.comp(l’exécution) }( { .pour_motif_nominal })?,{ .pour_motif },10,58,,sujet,F,S
132,,,{ .est(auditionné{ .sujet.es }) } par la commission d’enquête { `.chambre ||= s(de l’Assemblée Nationale|du Sénat)` },{ .sujet.comp(l’audition) } par la commission d’enquête { `.chambre ||= s(de l’Assemblée Nationale|du Sénat)` } { .dans_le_cadre_de_motif },{ .dans_le_cadre_de_motif },10,59,,,F,S
134,,,"{ .est(devenu{ .sujet.es },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } { .objet.comp(l’avocat) }",{ .objet.comp(la défense) }{ .s(par { .sujet.tonique }) } { .dans_le_cadre_de_motif },{ .dans_le_cadre_de_motif },10,60,,,F,S
136,,,"{ .a(abandonné,abandonner,abandonne,abandonnes,abandonne,abandonnons,abandonnez,abandonnent) } { .objet.comp(la défense) }",l’abandon de { .objet.comp(la défense) }{ .s(par { .sujet.tonique }) } { .dans_le_cadre_de_motif },{ .dans_le_cadre_de_motif },10,61,,,M,S
140,,,"{ .a(porté,porter,porte,portes,porte,portons,portez,portent) } plainte contre { .objet.tonique }",{ .sujet.comp(la plainte) } contre { .objet.tonique } { .pour_motif },{ .parce_que_motif },10,64,,,F,S
142,{ .election = s(présidentielles|législatives|régionales|municipales|de délégués de classe) },,"{ .objet.cod({ .a(battu,battre,bats,bats,bat,battons,battez,battent) }) } aux élections { .election }",{ .sujet.comp(la victoire) } face à { .objet.tonique } aux élections { .election },,10,65,sujet,objet,F,S
144,,,{ .etre } cible d’une perquisition{ .fbi ||= s(( du FBI)?) }{ .domicile ||= s(( { .sujet.comp(au domicile) })?) },{ .sujet.comp(la perquisition) } { .dans_le_cadre_de_motif },{ .dans_le_cadre_de_motif },10,67,,sujet,F,S
148,,,{ .etre } candidat{ .sujet.es } à { .info.lieu.comp(la mairie) },"{ .s_comp(la ,candidature) } à { .info.lieu.comp(la mairie) }",,10,68,,,F,S
149,,,"{ .sujet.se({ .est(porté{ .sujet.es },porter,porte,portes,porte,portons,portez,portent) }) } candidat{ .sujet.es } à la mairie { .info.lieu.comp_explicite }","{ .s_comp(la ,candidature) } à la mairie { .info.lieu.comp_explicite }",,10,68,,,F,S
151,{ .qtdrogue = s(1.5|3|6|8|10|100|150) },{ .qtdrogue } kg de drogue,ont été retrouvés { .sujet.comp(au domicile) },la découverte de { .qtdrogue } kg de drogue { .sujet.comp(au domicile) },,10,69,sujet,,F,S
152,,,"{ .a(publié,publier,publie,publies,publie,publions,publiez,publient) } { .objet.comp(la sextape) }",{ .s(la ) }publication de { .objet.comp(la sextape) }{ .s( par { .sujet.tonique }) },,10,70,sujet,objet,F,S
153,,,"{ .a(publié,publier,publie,publies,publie,publions,publiez,publient) } { .objet.comp(des photos intimes) }",{ .s(la ) }publication { .objet.comp(des photos intimes) }{ .s( par { .sujet.tonique }) },,10,70,sujet,objet,F,S
155,,,"{ .a(révélé,révéler,révèle,révèles,révèle,révélons,révélez,révèlent) } une importante affaire d’évasion fiscale { .info.lieu.loc_explicite } { .objet.cod(impliquant) }",{ .s(la ) }révélation d’une importante affaire d’évasion fiscale { .info.lieu.loc_explicite }{ .s( par { .sujet.tonique }) } { .objet.cod(impliquant) },,10,72,objet,,F,S
158,,,"{ .a(perdu,perdre,perds,perds,perd,perdons,perdez,perdent) } { .info.lieu.comp(les élections municipales) }",{ .sujet.comp(la défaite) } { .info.lieu.comp(aux élections municipales) },,10,73,,sujet,F,S
160,{ .objet ||= .info.acteur },,"{ .a(perdu,perdre,perds,perds,perd,perdons,perdez,perdent) } { .info.lieu.comp(les élections municipales) } face à { .objet.tonique }",{ .sujet.comp(la défaite) } { .info.lieu.comp(aux élections municipales) } face à { .objet.tonique },,10,73,objet,sujet,F,S
161,,,"{ .objet.coi({ .a(déclaré,déclarer,déclare,déclares,déclare,déclarons,déclarez,déclarent) } la guerre) }","{ .s_comp(la ,déclaration de guerre) } à { .objet.tonique }",,10,74,sujet,objet,F,S
166,,,"{ .objet.cod({ .a(retenu,retenir,retiens,retiens,retient,retenons,retenez,retiennent) }) } en otage",{ .objet.comp(la prise d’otage) }{ .s( par { .sujet.tonique }) },{ .parce_que_motif },10,79,sujet,objet,F,S
167,,,"{ .objet.cod({ .a(pris,prendre,prends,prends,prend,prenons,prenez,prennent) }) } en otage",{ .objet.comp(la prise d’otage) }{ .s( par { .sujet.tonique }) },{ .parce_que_motif },10,79,sujet,objet,F,S
173,,,"{ .a(proclamé,proclamer,proclame,proclames,proclame,proclamons,proclamez,proclament) } { .sujet.comp_implicite(l’indépendance) } { .objet.comp_explicite }",{ .sujet.comp(l’indépendance) },,10,82,,,F,S
174,,,"{ .a(déclaré,déclarer,déclare,déclares,déclare,déclarons,déclarez,déclarent) } { .sujet.comp_implicite(l’indépendance) } { .objet.comp_explicite }",{ .sujet.comp(l’indépendance) },,10,82,,,F,S
175,,,"{ .a(joué,jouer,jouerai,joueras,jouera,jouerons,jouerez,joueront) } en Équipe de France",{ .sujet.comp(la sélection) } en Équipe de France,,10,83,,,F,S
176,,,"{ .a(lancé,lancer,lance,lances,lance,lançons,lancez,lancent) } { .sujet.comp_implicite(la chaîne YouTube) }",le lancement de { .sujet.comp(la chaîne YouTube) },,10,84,,,M,S
177,,,"{ .sujet.se({ .est(lancé{ .sujet.es },lancer,lance,lances,lance,lançons,lancez,lancent) }) } sur YouTube",le lancement de { .sujet.comp(la chaîne YouTube) },,10,84,,,M,S
178,{ .topic = s(de tutoriels beauté|de lifestyle|de vlogs|(de )?gaming|de vulgarisation( scientifique)?) },,"{ .a(lancé,lancer,lance,lances,lance,lançons,lancez,lancent) } { .sujet.comp_implicite(la chaîne YouTube { .topic }) }",le lancement de { .sujet.comp(la chaîne YouTube { .topic }) },,10,84,,,M,S
179,{ .festival = s(du festival Coachella|de la Fête de l’Humanité) },,"{ .a(été,être,serai,seras,sera,serons,serez,seront) } à l’affiche { .festival }",{ .sujet.comp(la programmation) } à l’affiche { .festival },,10,85,,,F,S
186,,,{ .avoir } une relation extraconjugale avec { .objet.tonique },"{ .s_comp(la ,relation extraconjugale) } avec { .objet.tonique }",,10,,sujet,,F,S
190,,,"{ .est(devenu{ .sujet.es },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } végan{ .sujet.es }","{ .s_comp(le ,véganisme) }",,10,88,sujet,,M,S
191,,,"{ .a(annoncé,annoncer,annonce,annonces,annonce,annonçons,annoncez,annoncent) } { que({ .sujet.sujet_implicite({ .sujet.pn(deviens,deviens,devient,devenons,devenez,deviennent) }) }) } végan{ .sujet.es }","{ .s_comp(le ,véganisme) }",,10,88,,,M,S
192,,,"{ .sujet.se({ .est(converti{ .sujet.es },convertir,convertis,convertis,convertit,convertissons,convertissez,convertissent) }) } au véganisme",{ .sujet.comp(la conversion au véganisme) },,10,88,,,F,S
193,,,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } plus de 100 millions de morts",{ .sujet.comp(les 100 millions de morts) },,10,,sujet,,M,P
196,{ .objet ||= .info.acteur },,"{ .a(appelé,appeler,appelle,appelles,appelle,appelons,appelez,appellent) } à manifester pour { .objet.cod(destituer) }","{ .s_comp(l’,appel) } à manifester contre { .objet.tonique }",,10,91,sujet,objet,M,S
197,,,"{ .a(appelé,appeler,appelle,appelles,appelle,appelons,appelez,appellent) } à manifester contre le port du masque obligatoire","{ .s_comp(l’,appel) } à manifester contre le port du masque obligatoire",,10,91,sujet,,M,S
198,,,"{ .objet.cod({ .a(accusé,accuser,accuse,accuses,accuse,accusons,accusez,accusent) }) }",{ .objet.comp(l’accusation { .part_motif }) }{ .s( par { .sujet.tonique}) },"{ action198objet = .objet; m = .info.motif.val(coupable: action198objet, forme: (verbale|nominale), temps: infinitif_passe, mettre_sujet: false); s({ voy({ m },d’{ m },de { m }) }) }",10,92,sujet,objet,F,S
199,,,"{ .objet.cod({ .a(épousé,épouser,épouse,épouses,épouse,épousons,épousez,épousent) }) }",le mariage entre { .sujet.tonique } et { .objet.tonique },,10,93,,,M,S
209,,,"{ .objet.cod({ .a(accusé,accuser,accuse,accuses,accuse,accusons,accusez,accusent) }) } de fake news",{ .objet.comp(l’accusation de fake news) }{ .s( par { .sujet.tonique}) },,10,99,sujet,objet,F,S
210,{ .reseau = s(Facebook|Twitter|Instagram) },,"{ .objet.cod({ .a(bloqué,bloquer,bloque,bloques,bloque,bloquons,bloquez,bloquent) }) } sur { .reseau }",{ .objet.comp(le blocage) }{ .s( par { .sujet.tonique}) } sur { .reseau },{ .parce_que_motif },10,100,sujet,objet,M,S
214,,,"{ .objet.cod({ .a(soutenu,soutenir,soutiens,soutiens,soutient,soutenons,soutenez,soutiennent) }) } (aux|pour les) élections présidentielles( de 2022)?","{ .s_comp(le ,soutien) } à { .objet.tonique } (aux|pour les) élections présidentielles( de 2022)?",,10,102,sujet,,M,S
220,,,"{ .sujet.se({ .est(lancé{ .sujet.es },lancer,lance,lances,lance,lançons,lancez,lancent) }) } sur { h }TikTok",{ .sujet.comp(le lancement) } sur TikTok,,10,105,sujet,,M,S
221,,,"{ .a(créé,créer,crée,crées,crée,créons,créez,créent) } { .sujet.comp_implicite(le compte TikTok) }",{ .s(la ) }création { .sujet.comp(du compte TikTok) },,10,105,sujet,,F,S
224,,,"{ .est(condamné,condamner) } au { .info.prison }","{ .s_comp(la ,condamnation) } au { .info.prison }",{ .pour_motif },10,106,,sujet,F,S
228,,,{ .est(élu{ .sujet.es }) } { .info.concours } { .info.lieu.vocatif },{ .sujet.comp(l’élection) } { .info.concours } { .info.lieu.vocatif },,10,108,,,F,S
232,,,"{ .objet.cod({ .a(quitté,quitter,quitte,quittes,quitte,quittons,quittez,quittent) }) }",{ .objet.comp({ .sujet.comp(le départ) }) },"suite {action232sujet = .sujet; action232objet = .objet; `.info.motif ||= Action(coupable,victime)`.val(coupable: action232objet, victime: action232sujet, forme: nominale).coi_explicite }",10,110,,,M,S
233,,,"{ .a(décidé,décider,décide,décides,décide,décidons,décidez,décident) } de { .objet.cod(quitter) }",{ .objet.comp({ .sujet.comp(le départ) }) },"suite {action233sujet = .sujet; action233objet = .objet; `.info.motif ||= Action(coupable,victime)`.val(coupable: action233objet, victime: action233sujet, forme: nominale).coi_explicite }",10,110,,,M,S
234,,,"{ .a(pris,prendre,prends,prends,prend,prenons,prenez,prennent) } { .objet.comp(la tête) }",{ .sujet.comp(l’accession) } à { .objet.comp(la tête) },,10,111,,,F,S
235,,,"{ .a(accédé,accéder,accède,accèdes,accède,accédons,accédez,accèdent) } à { .objet.comp(la présidence) }",{ .sujet.comp(l’accession) } à { .objet.comp(la présidence) },,10,111,,,F,S
236,,,"{ .est(devenu{ .sujet.es },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } { .objet.comp({ .sujet.gn(le président,la présidente,les présidents,les présidentes) }) }",{ .sujet.comp(l’accession) } à { .objet.comp(la présidence) },,10,111,,,F,S
237,,,"{ .objet.cod({ .a(rejoint,rejoindre,rejoins,rejoins,rejoint,rejoignons,rejoignez,rejoignent) }) }","{ .objet.comp({ .s_comp(l’,adhésion) }) }",,10,112,,,F,S
238,,,"{ .a(décidé,décider,décide,décides,décide,décidons,décidez,décident) } de { .objet.cod(rejoindre) }","{ .objet.comp({ .s_comp(l’,adhésion) }) }",,10,112,,,F,S
239,,,"{ .a(interdit,interdire,interdis,interdis,interdit,interdisons,interdisez,interdisent) } l’hétérosexualité{ .info.ou }",{ .s(l’) }interdiction de l’hétérosexualité{ .info.ou }{ .s( par { .sujet.tonique }) },,2,113,sujet,,F,S
240,,,"{ .a(décidé,décider,décide,décides,décide,décidons,décidez,décident) } d’interdire l’hétérosexualité{ .info.ou }",{ .s(l’) }interdiction de l’hétérosexualité{ .info.ou }{ .s( par { .sujet.tonique }) },,2,113,sujet,,F,S
262,,,"{ .sujet.se({ .est(converti{ .sujet.es },convertir,convertis,convertis,convertit,convertissons,convertissez,convertissent) }) } { .info.a }",{ .sujet.comp(la conversion) } { .info.a },,10,126,,,F,S
269,,,"{ .info.lieu.cod({ .a(saccagé,saccager,saccage,saccages,saccage,saccageons,saccagez,saccagent) }) }",{ .info.lieu.comp(le saccage) }{ .s( par { .sujet.tonique }) },,10,127,sujet,,M,S
274,,,"{ .a(annoncé,annoncer,annonce,annonces,annonce,annonçons,annoncez,annoncent) } { que({ .sujet.sujet_implicite({ .sujet.pn(voterai,voteras,votera,voterons,voterez,voteront) }) }) } { .info.position }{ .info.loi }",{ .s(le ) }vote de { .info.loi }{ .s( par { .sujet.tonique }) },,10,128,sujet,,M,S
283,{ .info.lieu = Lieu(pays) },,"{ .a(présenté,présenter,présenterai,présenteras,présentera,présenterons,présenterez,présenteront) } la version { .info.lieu.adj(F,S) } de RuPaul’s Drag Race","la présentation de la version { .info.lieu.adj(F,S) } de RuPaul’s Drag Race{ .s( par { .sujet.tonique }) }",,10,130,,,F,S
284,{ .info.lieu = Lieu(pays) },,"{ .a(participé,participer,participerai,participeras,participera,participeront,participerez,participeront) } à la version { .info.lieu.adj(F,S) } de RuPaul’s Drag Race","{ .s_comp(la ,participation) } à la version { .info.lieu.adj(F,S) } de RuPaul’s Drag Race",,10,130,,,F,S
285,{ .info.lieu = Lieu[3] },,"{ .a(participé,participer,participerai,participeras,participera,participeront,participerez,participeront) } à RuPaul’s Drag Race","{ .s_comp(la ,participation) } à RuPaul’s Drag Race",,10,130,,,F,S
293,,,"{ .objet.cod({ .a(plagié,plagier,plagie,plagies,plagie,plagions,plagiez,plagient) }) }","{ .s_comp(le ,plagiat) } sur { .objet.tonique }",,10,,sujet,objet,M,S
294,,,"{ .sujet.se({ .est(fait{ .sujet.es },faire,fais,fais,fait,faisons,faisez,font) }) } plagier par { .objet.tonique }","{ .s_comp(le ,plagiat) } par { .objet.tonique }",,10,,objet,sujet,M,S
296,,,"{ .a(donné,donner,donne,donnes,donne,donnons,donnez,donnent) } { .info.somme }euros (au|lors du) Zevent","{ .s_comp(le ,don de { .info.somme }euros) } au ZEvent",,10,134,,,M,S
302,,,"{ .a(été,être,serai,seras,sera,serons,serez,seront) } présent{ .sujet.es } à la Japan Expo",{ .sujet.comp(la présence) } à la Japan Expo,,2,138,,,F,S
